Category,Description_2,Oncology Abbreviations,Final Abbreviations,Difference
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.1 | Tongue Carcinoma | Tongue Malignancy | Glossal Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.1
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.2 | Tongue Carcinoma | Tongue Malignancy | Glossal Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.2
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.3 | Tongue Carcinoma | Tongue Malignancy | Glossal Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.3
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.4 | Tongue Carcinoma | Lingual Cancer | Tongue Malignancy | Glossal Cancer | Lingual Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.4
Skin Cancer,Malignant melanoma of skin,C43 | C43.2 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Ear Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.2 | Cutaneous Oncogenesis | Ear Melanoma | Cutaneous Oncogenesis
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.8 | Tongue Carcinoma | Lingual Cancer | Tongue Malignancy | Glossal Cancer | Lingual Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.8
Tongue cancer,Malignant neoplasm of other and unspecified parts of tongue,C02 | C02.9 | Tongue Carcinoma | Lingual Cancer | Tongue Malignancy | Glossal Cancer | Lingual Cancer | Tongue Cancer,Tongue Cancer | Tongue Carcinoma | Malignancy of Tongue | Glossal Cancer | Lingual Cancer | Malignant Neoplasm of Tongue | Malignant Neoplasm of Other and Unspecified Parts of Tongue | Oral Tongue Cancer | Carcinoma of Tongue | Squamous Cell Carcinoma of Tongue | Tongue Malignancy | Malignant Tumor of Tongue | Neoplasm of Tongue | Cancer of Lingual Tissue | Malignant Lesion of Tongue | Non-Specified Tongue Cancer | Tongue Neoplasm | Cancer of Other Parts of Tongue | Malignant Growth of Tongue | Unspecified Tongue Malignancy,C02 | C02.9
Gum Cancer,Malignant neoplasm of gum,C03 | C03.0 | Gingival Cancer | Squamous Cell Carcinoma of Gum | Gingival Carcinoma | gingival squamous cell carcinoma | GSCC | Gum Cancer,Gum Cancer | Gum Malignancy | Gum Carcinoma | Gum Neoplasm | Malignancy of Gum | Oral Cancer | Mouth Cancer | Gingival Cancer | Gingival Carcinoma | Malignancy of Gingiva | Gum Sarcoma | Gingival Malignancy | Gum Squamous Cell Carcinoma | Gum Cell Carcinoma | Malignant Tumor of Gum | Gingival Neoplasm | Gum Tissue Cancer | Gingival Tumor | Malignant Growth of Gum | Gum Adenocarcinoma,C03 | C03.0 | Squamous Cell Carcinoma of Gum | gingival squamous cell carcinoma | GSCC
Gum Cancer,Malignant neoplasm of gum,C03 | C03.1 | Gingival Cancer | Squamous Cell Carcinoma of Gum | Gingival Carcinoma | gingival squamous cell carcinoma | GSCC | Gum Cancer,Gum Cancer | Gum Malignancy | Gum Carcinoma | Gum Neoplasm | Malignancy of Gum | Oral Cancer | Mouth Cancer | Gingival Cancer | Gingival Carcinoma | Malignancy of Gingiva | Gum Sarcoma | Gingival Malignancy | Gum Squamous Cell Carcinoma | Gum Cell Carcinoma | Malignant Tumor of Gum | Gingival Neoplasm | Gum Tissue Cancer | Gingival Tumor | Malignant Growth of Gum | Gum Adenocarcinoma,C03 | C03.1 | Squamous Cell Carcinoma of Gum | gingival squamous cell carcinoma | GSCC
Gum Cancer,Malignant neoplasm of gum,C03 | C03.9 | Gingival Cancer | Squamous Cell Carcinoma of Gum | Gingival Carcinoma | gingival squamous cell carcinoma | GSCC | Gum Cancer,Gum Cancer | Gum Malignancy | Gum Carcinoma | Gum Neoplasm | Malignancy of Gum | Oral Cancer | Mouth Cancer | Gingival Cancer | Gingival Carcinoma | Malignancy of Gingiva | Gum Sarcoma | Gingival Malignancy | Gum Squamous Cell Carcinoma | Gum Cell Carcinoma | Malignant Tumor of Gum | Gingival Neoplasm | Gum Tissue Cancer | Gingival Tumor | Malignant Growth of Gum | Gum Adenocarcinoma,C03 | C03.9 | Squamous Cell Carcinoma of Gum | gingival squamous cell carcinoma | GSCC
Palate Cancer,Malignant neoplasm of palate,C05 | C05.0 | Palate malignancy | Palate Cancer,Palate Cancer | Hard Palate Cancer | Soft Palate Cancer | Squamous Cell Carcinoma of the Soft Palate | SCCSP | Malignant Neoplasm of the Palate | Palatal Malignancy | Palate Carcinoma | Malignancy of Palate | Malignant Neoplasm of Palate | Squamous Cell Carcinoma of Palate | Myoepithelial Carcinoma of Palate | Malignant Myoepithelioma of Palate | Mucoepidermoid Carcinoma of Palate | MEC | Malignant Neoplasm of Hard Palate | Hard Palate Carcinoma | Palatal Carcinoma | Palate Malignancy | Malignant Tumor of Palate,C05 | C05.0
Palate Cancer,Malignant neoplasm of palate,C05 | C05.1 | Palate malignancy | Palate Cancer,Palate Cancer | Hard Palate Cancer | Soft Palate Cancer | Squamous Cell Carcinoma of the Soft Palate | SCCSP | Malignant Neoplasm of the Palate | Palatal Malignancy | Palate Carcinoma | Malignancy of Palate | Malignant Neoplasm of Palate | Squamous Cell Carcinoma of Palate | Myoepithelial Carcinoma of Palate | Malignant Myoepithelioma of Palate | Mucoepidermoid Carcinoma of Palate | MEC | Malignant Neoplasm of Hard Palate | Hard Palate Carcinoma | Palatal Carcinoma | Palate Malignancy | Malignant Tumor of Palate,C05 | C05.1
Palate Cancer,Malignant neoplasm of palate,C05 | C05.2 | Uvula cancer | Uvula malignancy | Palate Cancer,Palate Cancer | Hard Palate Cancer | Soft Palate Cancer | Squamous Cell Carcinoma of the Soft Palate | SCCSP | Malignant Neoplasm of the Palate | Palatal Malignancy | Palate Carcinoma | Malignancy of Palate | Malignant Neoplasm of Palate | Squamous Cell Carcinoma of Palate | Myoepithelial Carcinoma of Palate | Malignant Myoepithelioma of Palate | Mucoepidermoid Carcinoma of Palate | MEC | Malignant Neoplasm of Hard Palate | Hard Palate Carcinoma | Palatal Carcinoma | Palate Malignancy | Malignant Tumor of Palate,C05 | C05.2 | Uvula cancer | Uvula malignancy
Palate Cancer,Malignant neoplasm of palate,C05 | C05.8 | Palate malignancy | Palate Cancer,Palate Cancer | Hard Palate Cancer | Soft Palate Cancer | Squamous Cell Carcinoma of the Soft Palate | SCCSP | Malignant Neoplasm of the Palate | Palatal Malignancy | Palate Carcinoma | Malignancy of Palate | Malignant Neoplasm of Palate | Squamous Cell Carcinoma of Palate | Myoepithelial Carcinoma of Palate | Malignant Myoepithelioma of Palate | Mucoepidermoid Carcinoma of Palate | MEC | Malignant Neoplasm of Hard Palate | Hard Palate Carcinoma | Palatal Carcinoma | Palate Malignancy | Malignant Tumor of Palate,C05 | C05.8
Palate Cancer,Malignant neoplasm of palate,C05 | C05.9 | Palate malignancy | Palate Cancer,Palate Cancer | Hard Palate Cancer | Soft Palate Cancer | Squamous Cell Carcinoma of the Soft Palate | SCCSP | Malignant Neoplasm of the Palate | Palatal Malignancy | Palate Carcinoma | Malignancy of Palate | Malignant Neoplasm of Palate | Squamous Cell Carcinoma of Palate | Myoepithelial Carcinoma of Palate | Malignant Myoepithelioma of Palate | Mucoepidermoid Carcinoma of Palate | MEC | Malignant Neoplasm of Hard Palate | Hard Palate Carcinoma | Palatal Carcinoma | Palate Malignancy | Malignant Tumor of Palate,C05 | C05.9
Skin Cancer,Malignant melanoma of skin,C43 | C43.20 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.20 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.0 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Malignant Melanoma of Lip | Lip Melanoma,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.0 | Cutaneous Oncogenesis | Malignant Melanoma of Lip | Lip Melanoma
Skin Cancer,Malignant melanoma of skin,"C43 | C43.1 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Malignant Melanoma of Eyelid, Including Canthus | Eyelid Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer",Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,"C43 | C43.1 | Cutaneous Oncogenesis | Malignant Melanoma of Eyelid, Including Canthus | Eyelid Melanoma | Cutaneous Oncogenesis"
Skin Cancer,Malignant melanoma of skin,"C43 | C43.10 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Malignant Melanoma of Unspecified Eyelid, Including Canthus",Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,"C43 | C43.10 | Cutaneous Oncogenesis | Malignant Melanoma of Unspecified Eyelid, Including Canthus"
Skin Cancer,Malignant melanoma of skin,C43 | C43.11 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Right Eyelid Melanoma,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.11 | Cutaneous Oncogenesis | Right Eyelid Melanoma
Skin Cancer,Malignant melanoma of skin,C43 | C43.111 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.111 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.112 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.112 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.12 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Left Eyelid Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.12 | Cutaneous Oncogenesis | Left Eyelid Melanoma | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.121 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.121 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.122 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.122 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.21 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.21 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.22 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.22 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.3 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Facial Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.3 | Cutaneous Oncogenesis | Facial Melanoma | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.30 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.30 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.31 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.31 | Cutaneous Oncogenesis
